,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.17265872955322265,0.05465797796874772,0.0442927360534668,0.02735151600454443,1.0,linear,,,"{'C': 1, 'kernel': 'linear'}",0.8255451713395638,0.794392523364486,0.8348909657320872,0.8566978193146417,0.8255451713395638,0.8274143302180684,0.020054176871565212,5
1,0.3696922302246094,0.11419253781297621,0.01897425651550293,0.005641420264444164,10.0,linear,,,"{'C': 10, 'kernel': 'linear'}",0.8255451713395638,0.794392523364486,0.8348909657320872,0.8566978193146417,0.8317757009345794,0.8286604361370715,0.020092854201367107,3
2,0.16051254272460938,0.057367745283286975,0.044893836975097655,0.024311433639518275,1.0,rbf,0.001,,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,12
3,0.1513010025024414,0.06203662476954931,0.027895736694335937,0.007292840032500516,1.0,rbf,0.01,,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8255451713395638,0.778816199376947,0.822429906542056,0.8535825545171339,0.8348909657320872,0.8230529595015575,0.02464014944957656,7
4,0.13855137825012206,0.055683519531239206,0.02975015640258789,0.005563328143308259,10.0,rbf,0.001,,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.8255451713395638,0.7819314641744548,0.8286604361370716,0.8535825545171339,0.8348909657320872,0.8249221183800624,0.023593889381634255,6
5,0.12323598861694336,0.031162205626417777,0.03624086380004883,0.0161357856268306,10.0,rbf,0.01,,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8161993769470405,0.7881619937694704,0.838006230529595,0.8566978193146417,0.838006230529595,0.8274143302180686,0.023445342956045834,4
6,0.15498847961425782,0.08928285284440385,0.030440330505371094,0.009016965895557737,0.01,poly,,2.0,"{'C': 0.01, 'degree': 2, 'kernel': 'poly'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,12
7,0.16631026268005372,0.04735681237916469,0.03368730545043945,0.01642628305307418,0.01,poly,,3.0,"{'C': 0.01, 'degree': 3, 'kernel': 'poly'}",0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.7538940809968847,0.0,12
8,0.1564971923828125,0.04096954858431839,0.03133668899536133,0.015199728235426748,0.1,poly,,2.0,"{'C': 0.1, 'degree': 2, 'kernel': 'poly'}",0.8161993769470405,0.7819314641744548,0.8099688473520249,0.8255451713395638,0.8348909657320872,0.8137071651090343,0.01799318265195471,8
9,0.2960622787475586,0.08565843764472643,0.07501091957092285,0.03349655685916733,0.1,poly,,3.0,"{'C': 0.1, 'degree': 3, 'kernel': 'poly'}",0.8099688473520249,0.7725856697819314,0.7975077881619937,0.8286604361370716,0.8317757009345794,0.8080996884735201,0.02172659909552984,10
10,0.27207307815551757,0.10208196149357578,0.06046462059020996,0.032007836314548475,1.0,poly,,2.0,"{'C': 1, 'degree': 2, 'kernel': 'poly'}",0.8255451713395638,0.7881619937694704,0.838006230529595,0.8629283489096573,0.8442367601246106,0.8317757009345794,0.024922118380062308,1
11,0.16180500984191895,0.028989284045233214,0.04252667427062988,0.010823716012337841,1.0,poly,,3.0,"{'C': 1, 'degree': 3, 'kernel': 'poly'}",0.822429906542056,0.7850467289719626,0.838006230529595,0.8473520249221184,0.8598130841121495,0.8305295950155763,0.025809738538576925,2
12,0.32372379302978516,0.10936977732161307,0.03810739517211914,0.01235783573848884,10.0,poly,,2.0,"{'C': 10, 'degree': 2, 'kernel': 'poly'}",0.8255451713395638,0.7819314641744548,0.8037383177570093,0.8161993769470405,0.8286604361370716,0.811214953271028,0.017017445836445686,9
13,0.17610559463500977,0.04264081509640023,0.02655510902404785,0.008906659105221693,10.0,poly,,3.0,"{'C': 10, 'degree': 3, 'kernel': 'poly'}",0.8037383177570093,0.7819314641744548,0.778816199376947,0.8037383177570093,0.8161993769470405,0.7968847352024921,0.01426233413365682,11
